Repairs,Age,Machine
327.67,110,1
376.68,113,1
392.52,114,1
443.14,134,1
342.62,93,1
476.16,141,1
324.74,115,1
338.98,115,1
433.45,115,1
526.37,142,1
362.42,96,1
448.76,139,1
335.27,89,1
350.94,93,1
291.81,91,1
467.8,109,1
474.48,138,1
354.15,83,1
420.11,100,1
416.04,137,1
321.86,127,2
303.73,164,2
301.06,159,2
279.24,155,2
327.94,179,2
281.74,146,2
393.35,134,2
265.16,150,2
350.3,159,2
123.88,121,2
254.59,168,2
309.57,158,2
208.73,113,2
223.34,145,2
319.26,151,2
414.3,165,2
245.8,139,2
365.37,148,2
308.46,149,2
353.67,146,2
388.06,87,3
401.24,106,3
311.13,72,3
252.33,67,3
348.88,83,3
282.31,74,3
251.56,72,3
250.32,77,3
338.67,81,3
388.24,88,3
342.19,100,3
475.41,104,3
287.77,77,3
341.1,90,3
276.1,77,3
363.88,85,3
309.87,84,3
326.9,68,3
292.97,73,3
354.35,89,3
