Pct Dep,Temperature,PH Level,Weather
32.6,60,6.6,2
40.4,65,6.6,2
39.4,70,6.6,2
37.3,75,6.6,2
45.1,80,6.6,2
40.6,85,6.6,2
45.9,90,6.6,2
40.6,60,6.6,3
28.1,65,6.6,3
36.2,70,6.6,3
31.6,75,6.6,3
46.7,80,6.6,3
40.8,85,6.6,3
33.7,90,6.6,3
36.7,60,6.6,1
35.5,65,6.6,1
34.9,70,6.6,1
41.6,75,6.6,1
39,80,6.6,1
38.8,85,6.6,1
40.7,90,6.6,1
29.5,60,6.8,2
25.6,65,6.8,2
34.8,70,6.8,2
26.9,75,6.8,2
32.2,80,6.8,2
29,85,6.8,2
32.9,90,6.8,2
35.9,60,6.8,3
31.3,65,6.8,3
31,70,6.8,3
29.2,75,6.8,3
35.4,80,6.8,3
33.2,85,6.8,3
34.4,90,6.8,3
22.6,60,6.8,1
28.9,65,6.8,1
26,70,6.8,1
26.6,75,6.8,1
36.3,80,6.8,1
32.6,85,6.8,1
33.4,90,6.8,1
28,60,7,2
24.5,65,7,2
23.6,70,7,2
27.7,75,7,2
35.9,80,7,2
32.9,85,7,2
25,90,7,2
29.4,60,7,3
30.3,65,7,3
29.7,70,7,3
30.4,75,7,3
31.2,80,7,3
29.7,85,7,3
31.6,90,7,3
23,60,7,1
24.4,65,7,1
23.2,70,7,1
28.1,75,7,1
22.6,80,7,1
32.5,85,7,1
32,90,7,1
28.6,60,7.2,2
22.2,65,7.2,2
23,70,7.2,2
30.2,75,7.2,2
32.7,80,7.2,2
30.1,85,7.2,2
35.2,90,7.2,2
19.1,60,7.2,3
23.1,65,7.2,3
20.3,70,7.2,3
22,75,7.2,3
35.3,80,7.2,3
24.5,85,7.2,3
25.4,90,7.2,3
22.2,60,7.2,1
28.3,65,7.2,1
26.2,70,7.2,1
23.3,75,7.2,1
26.3,80,7.2,1
19.3,85,7.2,1
23.7,90,7.2,1
27.1,60,7.4,2
18.4,65,7.4,2
25.5,70,7.4,2
26.5,75,7.4,2
21.6,80,7.4,2
28,85,7.4,2
23.3,90,7.4,2
18.6,60,7.4,3
25.9,65,7.4,3
18.4,70,7.4,3
20.4,75,7.4,3
26.1,80,7.4,3
23.4,85,7.4,3
28.6,90,7.4,3
28.9,60,7.4,1
31.9,65,7.4,1
28.4,70,7.4,1
25.9,75,7.4,1
23.8,80,7.4,1
33,85,7.4,1
31.3,90,7.4,1
21.6,60,7.6,2
23,65,7.6,2
28.6,70,7.6,2
29.2,75,7.6,2
28.9,80,7.6,2
30.2,85,7.6,2
28,90,7.6,2
31.7,60,7.6,3
21.6,65,7.6,3
28,70,7.6,3
20.3,75,7.6,3
25.4,80,7.6,3
24.8,85,7.6,3
21,90,7.6,3
19.6,60,7.6,1
11.2,65,7.6,1
28.4,70,7.6,1
25.9,75,7.6,1
27.1,80,7.6,1
24.6,85,7.6,1
32.1,90,7.6,1
20,60,7.8,2
21.7,65,7.8,2
22.9,70,7.8,2
24,75,7.8,2
31.4,80,7.8,2
28,85,7.8,2
32.6,90,7.8,2
12.1,60,7.8,3
17.8,65,7.8,3
29.7,70,7.8,3
23.8,75,7.8,3
27.9,80,7.8,3
28.7,85,7.8,3
35.1,90,7.8,3
22.8,60,7.8,1
20.9,65,7.8,1
27.9,70,7.8,1
19.1,75,7.8,1
22.3,80,7.8,1
26,85,7.8,1
24.7,90,7.8,1
24.7,60,8,2
26.7,65,8,2
28.2,70,8,2
28.1,75,8,2
31.6,80,8,2
23.4,85,8,2
29.7,90,8,2
27.7,60,8,3
26.1,65,8,3
22.3,70,8,3
30.3,75,8,3
31.1,80,8,3
32.4,85,8,3
37.7,90,8,3
26.2,60,8,1
23.7,65,8,1
21.4,70,8,1
24.8,75,8,1
21,80,8,1
33,85,8,1
36.8,90,8,1
37.9,60,8.2,2
32.2,65,8.2,2
37.3,70,8.2,2
35,75,8.2,2
35.8,80,8.2,2
31,85,8.2,2
38.2,90,8.2,2
34.5,60,8.2,3
29.3,65,8.2,3
23.7,70,8.2,3
36,75,8.2,3
35.4,80,8.2,3
35.2,85,8.2,3
40.3,90,8.2,3
25.7,60,8.2,1
32.5,65,8.2,1
25.3,70,8.2,1
23.6,75,8.2,1
38.2,80,8.2,1
33.7,85,8.2,1
33.2,90,8.2,1
42.1,60,8.4,2
40.8,65,8.4,2
42.4,70,8.4,2
40.8,75,8.4,2
43,80,8.4,2
47.3,85,8.4,2
49.8,90,8.4,2
36.9,60,8.4,3
41.7,65,8.4,3
32.2,70,8.4,3
37.6,75,8.4,3
44.6,80,8.4,3
44.4,85,8.4,3
38.5,90,8.4,3
39.9,60,8.4,1
36.7,65,8.4,1
33.6,70,8.4,1
34.9,75,8.4,1
36.4,80,8.4,1
34.8,85,8.4,1
42.6,90,8.4,1
