Week 1,Week 2
69,75
77,69
74,73
67,72
81,71
67,69
72,73
68,75
68,70
68,72
67,76
67,65
74,65
64,65
66,70
76,70
71,73
67,72
67,71
67,71
79,67
77,68
69,68
68,74
74,72
71,79
71,66
75,71
68,67
70,73
71,71
75,71
73,72
72,68
72,78
68,65
68,70
73,67
71,72
82,71
73,71
69,66
68,64
71,79
68,70
69,71
64,74
71,71
65,70
70,73
77,67
75,70
72,71
71,65
65,67
63,67
65,75
71,72
76,68
65,75
68,69
74,72
72,72
72,78
75,77
71,73
67,73
78,69
75,71
68,69
75,77
66,77
72,72
74,68
73,72
75,74
74,72
69,75
74,69
68,71
70,71
64,68
68,71
64,76
64,68
77,69
69,69
76,72
78,63
63,74
74,77
68,68
63,71
70,74
68,76
67,76
84,69
71,68
73,74
73,64
