Before,After
545,590
462,467
398,565
425,416
453,458
572,651
443,462
532,479
521,494
380,449
486,407
488,471
359,545
559,461
398,541
497,573
619,534
563,358
511,471
532,459
463,452
292,397
424,431
384,472
352,481
421,539
462,458
415,501
409,721
484,683
487,497
364,633
415,515
564,436
473,417
554,554
366,520
502,504
619,429
524,532
600,456
573,549
425,586
601,494
509,432
474,512
479,502
517,502
539,363
610,641
600,512
606,493
660,395
531,485
545,566
453,555
563,555
421,553
438,586
310,616
614,489
496,492
403,486
530,538
469,528
510,558
554,569
463,587
423,544
538,478
528,482
554,509
375,506
362,633
607,404
434,571
384,532
678,504
530,495
451,541
512,468
459,499
625,562
437,529
434,369
490,578
494,397
481,601
437,520
447,482
514,554
488,467
458,335
524,546
476,514
478,586
490,492
512,606
507,504
504,615
544,542
614,435
423,467
405,530
552,463
493,495
557,526
453,562
547,633
698,448
502,387
663,492
439,579
376,469
455,543
614,681
624,483
634,492
632,495
474,560
433,529
537,498
584,594
520,516
587,457
420,557
445,485
499,508
530,590
497,497
522,504
421,524
346,434
557,503
574,431
505,559
437,568
512,500
459,604
441,546
477,526
469,516
467,530
398,505
535,441
446,420
591,614
607,424
429,603
538,567
572,540
518,474
463,399
493,559
418,559
535,518
583,512
494,526
572,422
492,540
400,431
449,376
468,445
540,515
402,590
514,617
646,681
441,606
522,518
526,523
425,520
420,547
481,466
501,513
606,378
611,512
454,473
531,576
388,569
579,659
396,432
486,467
616,497
600,426
488,553
672,512
442,483
441,476
518,445
466,600
505,389
499,584
569,658
489,493
405,406
503,457
583,629
505,482
584,578
355,614
461,541
671,513
454,549
298,419
530,507
339,536
478,479
437,528
436,437
623,534
468,540
564,483
498,456
451,546
495,481
438,457
574,671
472,499
567,438
447,564
476,461
426,615
414,507
514,444
413,458
379,415
461,447
518,502
490,582
551,558
365,553
423,527
569,512
462,454
344,552
421,572
683,644
548,552
495,404
467,510
525,512
528,383
534,464
435,440
446,555
481,468
432,611
564,451
426,518
435,498
582,531
470,599
453,455
553,441
565,534
544,580
571,443
428,621
479,417
439,544
482,530
540,602
612,491
495,463
558,474
498,409
536,446
526,459
546,424
420,420
531,434
375,370
393,439
535,488
441,542
454,471
473,563
515,565
650,445
457,609
466,634
463,659
528,515
495,594
584,564
362,493
583,391
547,623
461,
538,
501,
548,
528,
503,
582,
487,
422,
541,
521,
461,
432,
595,
554,
404,
457,
584,
601,
574,
488,
487,
561,
542,
517,
610,
535,
363,
501,
436,
464,
499,
492,
580,
584,
584,
469,
499,
492,
563,
447,
413,
470,
489,
451,
409,
676,
479,
429,
486,
564,
486,
486,
547,
401,
454,
478,
616,
439,
451,
438,
646,
462,
621,
466,
494,
467,
