Teenager,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,65,40,32,48,60,75,110
2,90,85,75,90,78,120,100
3,30,30,20,25,30,60,70
4,72,52,66,100,77,66,94
5,70,88,47,73,78,67,78
6,90,51,103,41,57,69,87
7,43,72,66,39,57,90,73
8,88,89,82,95,68,105,125
9,96,60,80,106,57,81,80
10,60,92,72,45,72,77,90
11,75,79,79,78,91,60,112
12,74,46,72,46,74,55,84
13,49,92,64,69,62,87,81
14,76,98,96,77,61,84,82
15,66,64,57,55,29,72,60
16,30,53,85,53,103,111,55
17,53,90,47,111,102,76,91
18,76,68,78,74,63,68,99
19,59,51,94,103,94,85,83
20,40,30,45,40,46,60,64
21,82,99,71,76,104,73,81
22,83,60,81,74,89,75,49
23,102,53,43,72,73,96,108
24,78,88,75,78,82,102,109
25,131,72,15,79,80,61,112
26,62,72,98,68,45,117,61
27,62,55,72,76,79,71,89
28,78,75,67,124,78,85,93
29,66,68,73,65,89,73,64
30,78,106,106,58,96,96,105
31,83,71,68,44,88,85,83
32,73,82,63,90,73,69,53
33,69,88,70,80,42,56,79
34,42,76,89,56,80,58,87
35,35,30,28,26,29,40,60
36,53,71,57,98,73,82,60
37,96,63,79,108,77,65,48
38,49,56,94,59,69,82,49
39,71,67,57,79,65,43,40
40,0,0,0,0,0,0,10
41,73,82,87,79,97,64,94
42,64,102,62,46,56,120,116
43,48,84,68,69,63,89,102
44,49,83,76,95,42,53,87
45,0,0,0,0,0,0,0
46,52,37,71,48,79,71,79
47,113,100,43,43,54,90,68
48,48,68,34,111,105,55,98
49,10,10,10,10,10,10,10
50,33,80,72,88,59,34,107
51,85,65,110,39,83,101,77
52,40,64,29,76,74,77,58
53,115,88,106,87,70,39,86
54,58,84,136,73,83,95,70
55,59,53,60,57,65,52,80
56,86,106,66,25,90,68,78
57,66,49,45,72,84,85,68
58,49,53,87,93,68,41,62
59,30,78,57,38,74,78,81
60,82,69,48,37,96,92,97
61,70,99,26,83,84,86,67
62,39,76,113,21,72,82,117
63,58,109,73,68,72,48,84
64,69,47,110,76,92,84,94
65,43,100,70,64,61,63,94
66,42,82,53,55,62,41,106
67,79,67,54,83,59,125,90
68,68,68,62,53,94,56,84
69,43,96,70,74,64,71,84
70,60,53,58,94,67,79,116
71,31,55,59,59,93,93,99
72,42,114,90,76,83,74,101
73,63,88,74,98,46,112,80
74,61,64,51,106,43,72,101
75,48,61,94,67,46,91,87
76,80,87,80,21,112,94,104
77,65,87,67,107,71,61,87
78,76,115,54,70,104,78,76
79,101,48,73,75,95,51,98
80,79,107,31,83,74,77,74
81,70,57,95,60,68,83,87
82,71,72,62,70,44,71,89
83,80,62,92,67,89,46,100
84,57,78,77,93,54,87,82
85,86,56,48,53,84,73,63
86,87,50,64,35,52,65,69
87,59,74,77,71,54,111,70
88,53,88,41,72,96,50,62
89,63,88,71,103,30,54,75
90,62,65,102,74,49,63,88
91,101,67,55,72,70,132,78
92,67,81,89,41,89,63,97
93,64,97,73,56,111,71,97
94,71,37,64,70,59,71,84
95,108,93,18,92,46,53,87
96,77,52,68,84,79,80,82
97,77,43,110,84,85,52,131
98,84,53,64,77,85,74,64
99,89,14,93,59,74,69,84
100,47,84,45,36,39,45,57
101,81,63,55,65,77,66,26
102,57,96,57,62,96,82,84
103,79,79,61,41,83,85,74
104,101,51,90,58,93,75,109
105,55,50,87,78,65,59,117
106,55,67,50,58,69,54,82
107,56,60,95,40,37,61,90
108,33,22,90,54,73,70,90
109,63,42,89,84,84,104,116
110,70,82,62,65,118,86,106
111,89,97,77,54,57,108,74
112,77,73,64,92,93,58,111
113,115,67,65,34,71,39,84
114,101,93,69,74,69,68,30
115,75,47,64,75,77,93,113
116,67,69,53,91,38,66,70
117,76,61,84,68,71,88,78
118,60,84,83,50,80,48,106
119,67,87,63,53,78,94,104
120,74,90,67,53,85,78,98
121,61,41,64,71,60,85,52
122,69,62,95,69,47,70,74
123,64,77,118,82,95,49,102
124,58,78,70,52,53,69,38
125,74,52,119,20,47,109,90
126,75,63,71,94,70,105,102
127,60,75,83,36,71,67,72
128,54,28,50,55,112,54,78
129,84,44,54,42,65,114,99
