Goal-diff,Faceoff,PM-diff
2,52,-3
1,45,-4
2,56,1
2,40,-3
1,47,2
0,42,1
1,52,1
-4,42,3
1,53,7
5,60,-2
1,47,-4
0,52,2
3,55,-2
2,51,-6
-1,52,-9
0,51,-7
2,45,1
-3,55,2
2,49,-1
2,52,3
2,46,4
0,44,-4
3,53,7
2,53,0
1,51,3
1,54,-2
1,51,0
2,52,2
2,54,6
1,45,6
1,46,9
1,50,0
2,58,-4
4,53,-2
1,42,-4
2,46,-3
1,50,8
-1,44,0
1,54,-7
5,52,3
2,44,5
2,46,-7
2,54,-4
0,50,-8
0,52,-2
0,52,0
1,52,5
-1,47,2
0,43,-1
1,53,1
1,50,-3
1,48,0
-1,50,-11
1,58,-4
6,53,0
3,49,-1
1,51,-4
3,55,7
5,44,3
2,51,10
0,53,6
2,45,8
-1,50,-6
-1,45,8
4,55,0
3,45,1
1,40,8
-4,49,-6
0,47,-9
3,56,1
1,46,2
1,51,2
2,53,7
1,47,0
-3,47,-8
2,57,-10
2,51,2
-1,46,-2
1,51,0
0,53,-7
0,44,-8
1,49,0
0,49,3
2,54,2
2,49,0
1,43,0
1,53,5
1,47,5
3,56,-4
1,52,1
0,56,-9
2,54,1
2,49,-2
-2,48,1
2,53,-1
3,47,7
1,47,-4
1,41,1
2,55,-2
0,45,-1
