Attendance,Yest Att,I1,I2,I3
7882,8876,0,1,0
6115,7203,0,0,0
5351,4370,0,0,0
8546,7192,1,1,0
6022,6835,0,0,0
7367,5469,0,1,0
7871,8207,0,1,0
5377,7026,0,0,0
5259,5592,0,1,0
4915,3190,0,0,0
6538,7012,0,0,0
6507,5517,0,0,0
5118,3764,0,0,0
6077,7575,0,0,0
4475,6047,0,0,0
3771,4430,0,0,0
6106,5697,0,0,0
7017,3928,1,1,1
5718,5552,0,0,0
5966,3142,1,1,1
8160,8648,1,1,1
4717,3397,0,0,0
7775,7655,0,0,0
5124,5920,0,0,0
7495,7831,1,1,1
5848,6355,0,0,0
5166,3529,0,0,0
4487,4220,0,0,0
7320,7526,0,1,0
6925,4083,1,1,0
8133,6382,1,1,0
7929,6459,0,0,0
7291,3432,1,1,1
5419,8077,0,0,0
3634,3353,0,0,0
6859,3803,1,1,1
6883,7476,1,1,1
8352,7075,1,1,0
9659,8859,1,1,0
5627,7696,0,1,0
