California,New York,Texas
30.4,43.6,17.6
24.6,21.6,30.6
34.8,24.1,26.9
26.8,27.5,10.1
17.6,28.9,18.8
27,19.1,31.4
20,36.9,44.2
50.7,40.8,24.6
24.4,9.5,29.5
36.8,37.4,38.1
42.2,38.9,30.3
26.3,46.2,11.7
14,35.8,35.8
28.5,20.7,22.4
36.9,37.8,17
25.6,49.7,15.4
25.9,44.3,15.4
29.5,12.1,6.8
29.7,43.7,14.8
30.5,35.9,59.3
20,30.2,5.3
23.2,8.5,0.6
20.7,34.6,20.7
6.2,37.9,18.6
44.2,50.9,24.9
28.2,24.2,9.3
28.8,39.1,11.9
16.6,20.4,19.6
20.2,12.4,31
13.1,28,25.9
16.9,28.4,52.6
32.4,19.4,38.3
19.6,42.5,34
12.8,27.2,24.9
30.2,22.6,32.1
65.1,50.8,43
25.5,34.1,31.1
17.5,27.1,16.8
11.1,38.9,34.1
48.8,28.7,40.4
38.9,54.2,29.4
23.1,30.6,9.8
21.6,15.9,19.5
22.3,15.1,9.6
27.3,30.1,21.6
30.7,32.2,26.5
39.3,42.9,3
34.4,19.1,24.2
21.4,28.1,31.3
36.1,12.4,30.8
27.1,38.3,26.5
36.9,29.3,17.4
39.8,32.5,9.6
24.6,20.9,15.9
15.9,45.7,33.7
10.7,50.1,25.2
15.1,12.9,30.6
21.4,38.3,28.1
25.1,19.4,37.7
27.2,17.5,22
27.8,39,18.2
28.5,12.1,22.6
12.5,22.9,24.2
26.2,8.9,18.2
26.6,39.8,30.4
22.3,12.1,20.3
33.9,16.1,27.8
13.2,45.1,31.7
19.9,58.3,18.1
28.7,22,44.9
30.1,38.3,12.1
31.1,23.4,18.9
18,26.6,36.1
33.6,18.9,21.4
32.6,41.1,9.6
35.6,30.3,38.6
25,46.6,17.2
36.2,24.3,16.2
33,17.2,50.7
24.9,33.7,7.5
33.8,22.4,29.1
38.5,40.2,14.2
22,23.2,7.9
39.9,27.5,16.3
21,29.4,23.8
17,40.7,14.6
24.7,46.2,20.5
22.9,21.5,17.6
29.9,39.6,26.7
9.4,28.9,20.1
35.6,15.9,28
30.4,16.9,25
24.5,40.5,22.8
37.1,22.2,46.2
23.1,31.4,20.1
37.6,37.5,19.3
40,21.4,31.6
32.9,37.3,18
29.7,26.9,25
29.1,34.4,34.5
22.5,27.2,17.6
39.9,22.9,22.4
28.3,26.9,14
28.3,43.4,30.2
31.2,40.2,39.5
32.3,20.7,16.3
18.9,35.9,5.1
20.7,19.9,34.7
25.3,59.5,24.4
22.3,28.3,30.4
11.1,26.6,24
2.1,65,31.5
5.8,55.7,39.2
35.3,20.5,19.6
24,8.2,27
22.1,24.7,22.2
35.4,45,49.2
34.6,54.3,33.3
49.8,18.1,12.8
40,43.8,14.4
28.6,46.9,28.6
16,33.5,40.7
12.3,50.9,44.5
25.4,32,34.1
30.1,24.7,13.9
15.2,31.2,31.2
22.2,25.7,12.8
22.7,34.8,37.1
30.3,33.4,35.7
14.1,33.7,11.2
30.5,24.4,19.9
20.8,66,18.4
27.2,34.5,14.4
25.5,35,31
38.2,42.6,1.4
12.6,55.2,35.4
34.9,34.5,34
24.7,31.8,1.5
20.6,25.9,35.6
21.3,31.9,12.7
8.1,41.6,23.4
27.9,10.8,30.8
19.9,64.2,23.7
27.2,31.1,1.4
29.4,28.6,25.7
22.3,45.4,45.8
48.9,39.4,36.9
39.3,40.5,27.3
27.6,13.3,30.2
33.3,19.4,28.6
27.2,41.4,23.5
12,32.6,14.5
36.2,19.7,22.6
2.6,7.6,40.1
27.4,32.5,24.9
33.3,16.8,5.2
26.7,29.7,3.2
30.7,31.2,49
55.1,29.8,37.9
30.7,49.8,35.1
17.6,25.4,29.2
36.3,40.2,19.9
12.2,4.1,33.5
24.4,23.3,47.1
32.5,21.3,20.9
32.4,11,19.6
44.2,15.4,13.9
29.7,25.2,20.4
24.6,51,15.4
19.4,34.3,25.1
32.7,16.5,25.7
22.6,39.6,30.9
28.8,21.2,10.5
27.6,30.3,35.7
35.3,47.5,32.6
20.3,27.3,27
18.7,23.1,29.9
25.1,46.7,36.2
25.7,34.1,33.9
14.6,32,24.8
13.7,24.6,19.5
34.3,42.6,29.6
30.8,17.9,40.7
39.8,37.6,26.2
30.9,24.8,12.4
33.9,12.4,23.1
37.3,32.3,14.5
35,47,29.9
14.5,16.8,29
18.4,32.3,31.2
19.6,47.7,8.9
29.9,60,28
37.4,17.4,29.1
21,64.4,22
23.1,13.9,20.3
13.6,9.8,22.4
46.3,16.9,30.1
28.6,55.3,10.5
37.9,43.3,20.7
27.8,46.3,44.2
25.9,20.7,36.7
25.3,24.4,39.6
39.7,33.4,29.7
48.6,37.3,26.9
14.5,25.9,23.1
15.4,20.6,33.1
12.2,55,42
20.8,31.8,31
33.4,38.2,14.4
23.2,36.3,23.8
31.1,27.6,19.8
14.7,35.1,40.5
18.4,18.8,25.3
29.6,54.2,48.5
23.4,20.9,30
22.3,24.6,34.1
23.5,27.8,21.6
33.9,36.9,41.2
34.1,14.6,31.9
22.5,37,6.8
27.2,29.6,32.9
31.5,45.3,37.5
26.7,44.6,15.4
37.1,38.2,13.6
31.5,14.2,37.3
26.2,8.5,18.6
1.9,52.5,18.3
37.1,48.9,47
27.1,52.2,21.5
12.8,60,29
34.9,24.9,29.4
32.9,15.6,25.6
56.3,24.2,28.7
36.9,23.5,10.7
17.4,33.4,29.8
8.9,19.7,23.3
15.2,24.2,18.1
42.8,34.2,25.5
23.6,40.6,38
41.7,17.6,24.3
30.1,18.7,35.8
23.5,56.8,24.5
36.1,30.1,7.6
9.9,24.4,17.3
17.4,35.1,18.5
29.4,15.2,31
26.6,28.5,18.7
34.5,16.7,29.2
22.1,21,22.5
21.7,7.5,35
27.6,38.8,32.1
7.7,26.2,29.7
24.7,16,30.2
16.6,47.3,3.8
27.7,11.1,13.8
21.6,23.7,19.4
23.8,31.2,30.7
43.6,18.5,24.6
16,47.7,5.9
27.4,42.9,1.5
17.4,26.1,35.4
33.6,27.7,21.5
17.8,26.5,37.6
35.5,21.6,1.7
34.7,34.9,7.3
17.5,27.3,26.1
10,40.1,19.7
20.4,28.9,34.6
32.5,39.9,23.8
29.9,17.2,28
41.3,15.3,32.9
8.8,32.2,21.6
14.6,18.2,27.8
27.9,56.9,27.3
6.8,27.4,23
33.3,34.7,35.1
1.8,5.5,14.4
26.7,33.1,25.5
29.2,53,20.3
41.9,23.9,18.6
22.9,29.2,6
27.7,23,13
16.1,18.2,23.5
31,21.1,33.7
20.7,48.9,26.6
27,35.7,14.7
26.8,20.5,9
34.7,39.9,19.8
36.5,32.9,26
20.5,24.3,34.7
22.4,21,18.2
13.8,39.3,9.6
21.5,16.7,36.4
29,24.9,22.5
31.2,24,5.2
33.6,15,33.8
20.6,34.3,22.6
11.7,41.6,21.8
22.6,32.1,35
24.7,34.5,23.1
33.1,35.9,21
38.3,32.8,29
30.4,43.8,20.6
43.8,27.6,25
32.1,42.8,30.9
20,13,11.3
1.3,21.1,41
35,38.3,11.4
36.3,24.2,8.6
24.8,34.6,36.2
23.2,20,20.4
18.4,48.7,19.1
34,53.9,15.2
12.8,13.3,7.8
38.5,46.8,24.4
,47,15.9
,32.5,14.7
,18.5,39.9
,52.3,32.1
,34,8.3
,10.3,24.2
,56.7,38.7
,40.6,31.1
,10,23.4
,43.8,10.6
,16.8,19.8
,47.7,32
,28.4,20.1
,30.8,21.5
,41.3,18.7
,40.8,46
,32.2,13.8
,32.7,39.5
,34.4,22.7
,21.6,17.1
,17.3,39.2
,36.8,27.7
,17.1,13.7
,42.7,12.5
,35.1,34.1
,26,12.1
,31.2,22.6
,38.9,16.5
,26.5,10.7
,11.9,28.6
,53.8,26.1
,38.1,1.3
,38.2,45.3
,27.5,21.9
,42.3,25.2
,47.4,22.3
,25,28.9
,31.3,
,40.3,
,17.9,
,47,
,48.9,
,21,
,30.4,
,41,
,24.1,
,15.3,
,60.7,
,39.6,
,31.7,
,46.5,
,17.9,
,18.9,
,23,
,1.9,
,28.7,
