Temperature,Detergent1,Detergent2,Detergent3,Detergent4,Detergent5
Cold,66,83,70,44,84
Cold,87,62,75,59,67
Cold,55,61,62,47,99
Cold,41,85,68,60,85
Cold,68,75,72,79,73
Cold,49,78,92,62,74
Cold,52,68,70,73,76
Cold,57,66,71,64,82
Cold,66,93,74,69,79
Cold,62,81,80,81,79
Warm,78,63,71,70,87
Warm,65,47,88,80,100
Warm,68,88,90,78,83
Warm,75,74,85,72,82
Warm,57,71,78,71,93
Warm,48,71,69,75,76
Warm,84,71,60,101,87
Warm,69,68,80,81,76
Warm,55,80,61,87,70
Warm,78,68,89,84,78
Hot,99,82,97,85,84
Hot,87,85,98,83,95
Hot,57,72,79,94,82
Hot,84,71,60,89,74
Hot,93,72,84,77,97
Hot,64,77,58,100,87
Hot,90,73,79,92,80
Hot,85,88,86,102,76
Hot,64,75,91,93,91
Hot,84,77,75,86,96
